Delivery probability;0.3254;0.4007;0.2611;0.2744;0.1763;0.1884;0.3274;0.4007;0.2618;0.2758;0.1873;0.2280
Overhead ratio;0.3866;1.0017;0.0864;0.8483;40.0930;0.5254;0.2025;1.0017;0.1384;0.8366;36.0438;159.3459
Latency (avg);6245.6538;7211.5794;7029.8552;7703.3391;6371.8853;7618.4685;6361.0019;7211.5794;7019.1439;7686.2423;6556.2504;6479.8531
Hop count (avg);1.0420;1.1329;1.0079;1.1294;3.4341;1.0543;1.0334;1.1329;1.0157;1.1163;3.4234;3.7170
Buffer time (avg);13886.7936;14285.5829;15240.4132;15537.9473;2970.0801;16929.0070;14717.5843;14285.5829;15016.9112;15672.5314;3026.3686;1436.2294
