Delivery probability;0.2556;0.202;0.1893;0.1713;0.1722;0.1802;0.285;0.2294;0.2023;0.1993;0.1716;0.2137
Overhead ratio;85;638;67;485;39;255;65;431;47;292;32;162
Latency (avg);4273;3463;5197;4702;6772;6278;4714;3789;5850;5214;6739;6398
Hop count (avg);4;7.5;3.9;7.7;3.3;6.2;3.6;4.9;2.8;4.2;2.5;3.7
Buffer time (avg);1387;549;1846;766;2990;1291;1439;623;2041;890;3315;1433
